Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7915862,1.0000002e-05,0.11852363,0.014725733,0.03495223,0.5591514079521099,0.5591513949918294,815.0
2000,1.7914085,1e-05,0.17320961,0.025807774,0.037676755,0.2024628738872707,0.20246278342289278,1450.75
3000,1.791029,9.999999e-06,0.23116332,0.03259382,0.035239827,2.9316545237476626,2.931654597923275,1601.8333333333333
4000,1.790705,9.999999e-06,0.13847286,0.04170632,0.03763147,8.550605374698838,8.5506053984817,2375.1111111111113
5000,1.7901317,9.999999e-06,0.17364614,0.040563267,0.036599696,9.100877099728677,9.100877154254174,2999.875
6000,1.7883655,9.999999e-06,0.20633782,0.038149133,0.035567507,5.605889211438837,5.605889246918313,1763.7096774193549
7000,1.785898,9.999999e-06,0.16246587,0.0431052,0.033413306,3.8219704465882387,3.821970488625597,1327.0625
8000,1.7814844,9.999998e-06,0.15180326,0.049093835,0.033541825,1.8001091180440898,1.8001091225544665,1622.4615384615386
9000,1.7697681,9.999998e-06,0.2885175,0.062185418,0.03366831,-1.327191871487432,-1.327191932625706,1629.2222222222222
10000,1.7464069,9.999998e-06,0.3967518,0.064441025,0.03572835,8.790355842094868,8.790355784419106,1480.25
11000,1.7273638,9.999998e-06,0.37985453,0.06845263,0.035481803,8.485375397898391,8.485375361477466,1654.1052631578948
12000,1.7151539,9.999998e-06,0.39217964,0.086323135,0.03592206,5.0194453790163,5.019445393056345,1013.8
13000,1.7222583,9.999998e-06,0.26994547,0.09897713,0.034189582,5.741864003455983,5.74186401886276,1324.4615384615386
14000,1.7240725,9.999998e-06,0.22504608,0.1154669,0.036451545,12.585603401189049,12.585603313594287,1610.6
15000,1.7337943,9.999998e-06,0.1393385,0.12505028,0.031525355,15.785580976400524,15.785580920111101,1681.0
16000,1.6826131,9.999998e-06,0.6864345,0.09480851,0.033646144,-2.017355594251837,-2.0173556165158435,1622.8285714285714
17000,1.6501553,9.999996e-06,0.7845387,0.09734169,0.034967475,12.693897670755783,12.693897724914999,1055.1666666666667
18000,1.6473699,9.999994e-06,0.74973303,0.14422843,0.035811953,40.704929931621464,40.70493010963787,1955.5714285714287
19000,1.6247202,9.999994e-06,0.7804677,0.13169225,0.033807535,36.08316723885946,36.08316686424109,2270.75
20000,1.6041543,9.999994e-06,0.8492187,0.16212402,0.03497457,19.129851769469678,19.12985174887503,1835.7333333333333
21000,1.5730474,9.999994e-06,1.1054677,0.12850624,0.03560302,11.496901876152013,11.496901908866848,1651.7272727272727
22000,1.593144,9.999994e-06,1.0041162,0.15851836,0.029092193,17.72401724534575,17.72401724065898,1186.5
23000,1.6104208,9.999994e-06,0.85248566,0.16229783,0.03557707,37.72024827212509,37.72024835816857,1555.0
24000,1.5966842,9.999994e-06,1.0095352,0.15097912,0.03063475,39.86098647490144,39.86098628875275,1993.6
