Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
5000,1.7469933,2e-05,0.2291656,0.034917716,0.035825733,9.99191870685172,9.99191871096522,884.625
10000,1.5795809,1.9999996e-05,1.3844261,0.094465576,0.03373967,7.063577354887943,7.063577358249909,335.71287128712873
15000,1.498258,1.9999994e-05,1.7957373,0.108950965,0.032052957,10.996754585188144,10.996754600247815,422.36619718309856
20000,1.3351216,1.9999992e-05,2.216456,0.14583041,0.03420056,16.608904434514255,16.608904447726587,546.8553719008264
25000,1.2595508,1.9999992e-05,2.612676,0.14023195,0.033980206,23.902197051325015,23.902197060871213,716.9485714285714
30000,1.1231996,1.999999e-05,2.9811938,0.15478246,0.036686584,28.34727574944496,28.34727581771491,800.1666666666666
35000,1.0949458,1.9999987e-05,3.3089375,0.14228646,0.032581575,35.476457805651435,35.476457848374636,963.4015748031496
40000,1.1041281,1.9999983e-05,3.481514,0.1371543,0.033486348,35.20350203176929,35.203502036650775,965.9322033898305
45000,1.1389726,1.9999981e-05,3.6029778,0.11770057,0.035833087,48.06372831125433,48.06372835536953,1272.875
50000,1.214541,1.999998e-05,3.6584496,0.1002003,0.036233373,56.563187226083954,56.56318725720804,1528.125
55000,1.1828246,1.9999978e-05,3.6486375,0.10092936,0.033905465,67.34054765185076,67.34054773927132,1755.442857142857
60000,1.205691,1.9999978e-05,3.743675,0.09847396,0.03388117,79.43823018918435,79.43823019781276,2030.3181818181818
65000,1.2177888,1.9999976e-05,3.5854824,0.07511987,0.034089167,81.0015300288066,81.00153022407271,2135.901960784314
70000,1.2024729,1.9999976e-05,3.637527,0.07555131,0.034899686,93.3480366723681,93.34803675859705,2512.3333333333335
75000,1.2078,1.9999972e-05,3.6745174,0.07521715,0.035292078,85.74797172932064,85.74797180621941,2237.5686274509803
80000,1.2265193,1.9999967e-05,3.6467917,0.073852085,0.033925768,86.58666724163022,86.58666732418423,2334.1454545454544
85000,1.1788194,1.9999965e-05,3.56949,0.071380325,0.03526588,88.00682058211031,88.00682051454663,2340.810344827586
90000,1.1123363,1.9999963e-05,3.7017274,0.07858505,0.033897188,85.72000196216007,85.7200020415406,2246.4333333333334
95000,1.0861503,1.9999963e-05,3.8152254,0.0799393,0.034594998,74.69534322897357,74.69534334898205,1921.031746031746
100000,0.99862146,1.9999961e-05,3.8577516,0.08807146,0.0348329,72.5697736993864,72.569773947871,1828.5217391304348
105000,1.0531328,1.999996e-05,3.8375032,0.08509311,0.033890128,75.93277690764786,75.93277697415763,1905.0434782608695
110000,1.057343,1.9999956e-05,3.7658846,0.07798556,0.035316203,81.0612572647058,81.06125737137437,2042.7076923076922
115000,1.05185,1.9999954e-05,3.8080034,0.088359706,0.03300021,74.68515219200741,74.685152260774,1860.4242424242425
120000,1.1265384,1.999995e-05,3.8485358,0.08389517,0.03232776,71.45684825985327,71.45684836101296,1775.6811594202898
125000,1.1041157,1.999995e-05,3.9292161,0.08655858,0.035911854,81.18088193215203,81.18088206855926,2008.2878787878788
130000,1.100873,1.999995e-05,3.8771303,0.07883263,0.033778857,90.29723792805754,90.29723796553262,2190.137931034483
135000,1.1182411,1.9999947e-05,3.9656315,0.08715791,0.034655944,83.18354568068798,83.18354572577931,2108.9692307692308
140000,1.1188247,1.9999945e-05,3.9261582,0.089680284,0.0347808,86.05519397777971,86.05519421270674,2058.75
145000,1.0773275,1.9999943e-05,3.8825824,0.093191504,0.034878377,80.97525031095157,80.97525044142662,1964.622950819672
150000,1.0645927,1.9999941e-05,3.8066905,0.09521672,0.0337017,76.01243795514765,76.01243795027355,1847.3382352941176
155000,1.0769132,1.9999936e-05,3.9426925,0.08841944,0.036139205,83.63428185178952,83.63428178108295,2063.1176470588234
160000,1.0316467,1.9999934e-05,3.9218671,0.08947233,0.034110393,74.36059314461754,74.36059324696436,1790.1911764705883
165000,1.0545813,1.9999934e-05,3.9542544,0.082311414,0.033720464,82.9821603537583,82.9821604154474,2020.950819672131
170000,1.0380187,1.9999932e-05,3.8918898,0.07835988,0.033251654,85.61248540756155,85.61248541154276,2122.8688524590166
175000,1.077385,1.999993e-05,3.902525,0.07756988,0.0348836,93.00509721474214,93.0050972607368,2273.2727272727275
180000,1.1442076,1.9999929e-05,3.9135594,0.07357008,0.03278591,96.13697690387758,96.1369769694511,2321.8846153846152
185000,1.0998213,1.9999925e-05,3.9707277,0.080053344,0.03451785,95.2900916557563,95.29009182480678,2362.2280701754385
190000,1.0974458,1.9999925e-05,4.0170116,0.08700079,0.03587093,88.36477921642954,88.36477924613618,2126.0
