Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7911894,1.0000002e-05,0.042129032,0.021682017,0.032493092,5.306132872899373,5.306132901134731,728.1666666666666
2000,1.7853569,1e-05,0.08959343,0.033734404,0.03727422,10.572566073387861,10.57256604775991,1156.125
3000,1.770669,9.999999e-06,0.03808034,0.040587213,0.034360945,9.617267161965943,9.617267139040468,1690.0
4000,1.774631,9.999999e-06,0.22169055,0.047062837,0.035560038,6.711024014072286,6.711024048870964,1443.888888888889
5000,1.7680233,9.999999e-06,0.28915486,0.045995086,0.036169883,9.893340042210184,9.893340173621297,1444.75
6000,1.7572159,9.999999e-06,0.45681706,0.045586884,0.031514805,7.6195045455533545,7.619504580990385,1254.4375
7000,1.7117219,9.999999e-06,0.61745703,0.06601644,0.035720974,5.817378055852125,5.817378086826983,538.5588235294117
8000,1.6564715,9.999998e-06,0.9208527,0.0749083,0.03578691,6.373634735763561,6.37363470957976,475.39344262295083
9000,1.6036121,9.999998e-06,1.0270494,0.08977536,0.03785565,6.07076833268968,6.070768350117657,361.4731182795699
10000,1.577961,9.999998e-06,1.2110282,0.10138652,0.032583483,5.3224323834724645,5.322432382406492,284.91752577319585
11000,1.5566213,9.999998e-06,1.3996336,0.10584507,0.03483874,4.430463413956264,4.430463414604515,215.79166666666666
12000,1.5461515,9.999998e-06,1.2125384,0.09905411,0.036039628,5.485772113690619,5.485772128111173,252.15
13000,1.5467145,9.999998e-06,1.3105115,0.079640925,0.031476,6.310000067015729,6.310000082964972,274.1927710843373
14000,1.545029,9.999998e-06,1.4199053,0.0809817,0.034409355,7.8194380782628325,7.819438103859281,328.80898876404495
15000,1.5291718,9.999998e-06,1.5846444,0.09404131,0.032452192,7.340977494097963,7.340977529021432,304.1645569620253
16000,1.5054207,9.999998e-06,1.7021016,0.09374153,0.03166213,6.216978165293926,6.216978163697962,249.5242718446602
17000,1.5006765,9.999996e-06,1.5865495,0.09189609,0.035041038,7.199802278508158,7.199802289868472,298.81176470588235
18000,1.480381,9.999994e-06,1.5615258,0.094666764,0.032786038,7.009306469394101,7.0093064836541945,285.6666666666667
19000,1.4926424,9.999994e-06,1.5354283,0.09022564,0.036406443,8.17813799476278,8.178137993005478,330.7826086956522
20000,1.5114149,9.999994e-06,1.5673614,0.08901627,0.031732395,8.806827941781854,8.806827951485142,348.13698630136986
21000,1.52406,9.999994e-06,1.72551,0.09052941,0.032403808,7.362094655120745,7.36209464062573,288.9875
22000,1.5288762,9.999994e-06,1.675193,0.103391185,0.033638045,10.150174204472984,10.150174226318745,405.9
23000,1.5382262,9.999994e-06,1.6391529,0.09609273,0.038290408,10.487491936345274,10.487491888943323,421.8958333333333
24000,1.5313903,9.999994e-06,1.5531657,0.1012661,0.03366173,14.106775423986655,14.106775405101116,567.1764705882352
25000,1.5089365,9.999994e-06,1.6871483,0.10023796,0.033257727,11.89757616015581,11.897576179940684,489.03846153846155
26000,1.5115815,9.999994e-06,2.0255775,0.10617898,0.029559802,10.00968290198474,10.009682909703542,357.241935483871
27000,1.4748999,9.999994e-06,2.0059829,0.11373248,0.037694857,19.613992933524635,19.613992967802236,709.439024390244
28000,1.4623098,9.999994e-06,2.0901148,0.11974312,0.037789892,17.91787061702926,17.917870612957337,638.025
29000,1.4480255,9.999993e-06,2.0749073,0.12716293,0.03415739,18.194061879275573,18.194061960256143,645.0555555555555
30000,1.4621414,9.999993e-06,2.218687,0.115453586,0.038141362,20.64842014399267,20.648420248965902,729.7741935483871
31000,1.4662869,9.999993e-06,2.4400449,0.123740666,0.035467234,15.038012895062566,15.03801291893084,532.0
32000,1.4152713,9.999993e-06,2.3419995,0.1283612,0.033347856,24.706987374672487,24.706987420200576,827.483870967742
