Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
185000,0.83409417,1.9999925e-05,3.558126,0.20462924,0.034940265,51.339880399802496,51.33988049381887,1376.4772727272727
190000,0.8478172,1.9999925e-05,3.4862056,0.20506471,0.033448856,55.8701524101636,55.8701524810497,1537.0941176470587
195000,0.84325314,1.9999921e-05,3.062211,0.2132722,0.034406286,51.37568206045691,51.37568212634708,1396.2988505747126
200000,0.8132396,1.9999921e-05,3.4278638,0.21526831,0.034242447,44.73124714738435,44.73124714478118,1391.0636363636363
205000,0.7955865,1.9999918e-05,3.8371928,0.2168743,0.034106556,39.92373637230815,39.923736436508676,1063.3873873873874
210000,0.8273826,1.9999918e-05,3.0732331,0.21561366,0.03384484,48.1593239874325,48.15932404608482,1115.7
215000,0.8334352,1.9999916e-05,3.4011593,0.19905598,0.035636913,42.81957099245997,42.81957112695411,1397.7560975609756
220000,0.81508213,1.9999914e-05,4.0052547,0.20159881,0.03508019,65.5634617320835,65.56346171416327,1804.820512820513
225000,0.7900011,1.9999912e-05,3.9312513,0.21816897,0.034118436,48.04025606570654,48.04025616620014,1104.8034188034187
230000,0.80067843,1.9999909e-05,3.9149172,0.21240775,0.034432594,54.39636889862779,54.396368920397215,1332.157894736842
235000,0.78734034,1.9999907e-05,3.9139817,0.22271603,0.034109328,50.6685798076316,50.66857995898345,1187.2038834951456
240000,0.82090545,1.9999905e-05,3.4644642,0.2346229,0.032837424,53.74477007408859,53.744770202963025,1296.6875
245000,0.8005134,1.9999905e-05,3.4851124,0.21519844,0.03455214,50.353039643737254,50.35303962519818,1433.0537634408602
250000,0.8098478,1.9999903e-05,3.574207,0.21647881,0.03374986,66.20541977748275,66.2054198832458,1733.5466666666666
255000,0.7956394,1.9999898e-05,3.5921993,0.22217432,0.033391453,53.474846741045376,53.47484679736231,1445.0721649484535
260000,0.80837506,1.9999896e-05,3.3036776,0.20359759,0.03389742,60.40698053296656,60.40698060445476,1603.575
265000,0.7507244,1.9999892e-05,3.6709173,0.22862023,0.03434411,36.26181963934101,36.261819695813266,1066.2268907563025
270000,0.8021014,1.9999892e-05,3.3068612,0.21112098,0.034875147,52.96687463433632,52.96687468034133,1332.1935483870968
275000,0.74768263,1.999989e-05,3.5389163,0.23373367,0.033966433,37.930765057696654,37.93076515597859,1109.1833333333334
280000,0.7733411,1.999989e-05,3.889855,0.22048368,0.034806836,44.632622625289144,44.63262264059993,1211.1224489795918
285000,0.7197694,1.9999889e-05,4.0268235,0.22991417,0.03275492,48.52232545109,48.52232551897866,1118.2916666666667
290000,0.7426459,1.9999885e-05,3.6112912,0.24273635,0.035548195,45.826429248733135,45.82642925904138,1030.25
295000,0.7565081,1.9999883e-05,3.6605353,0.22900294,0.033825543,43.1159637525918,43.11596377538644,1238.6129032258063
300000,0.75779474,1.999988e-05,3.7811928,0.22160944,0.03414438,55.130001539525985,55.13000152749646,1398.12
305000,0.77937865,1.9999878e-05,3.2473075,0.22148907,0.03327306,62.41568719581289,62.41568729695763,1508.9506172839506
310000,0.72693926,1.9999876e-05,3.5139832,0.22401486,0.034460418,41.26340965255156,41.263409709754676,1226.8991596638655
315000,0.7865556,1.9999876e-05,3.408141,0.21339218,0.034018695,51.636918242718096,51.63691833713062,1278.05
320000,0.77624345,1.9999876e-05,3.3751907,0.20151378,0.035289302,63.21670910531051,63.21670906959906,1897.0945945945946
325000,0.79307073,1.9999872e-05,2.8531203,0.20886974,0.03610109,56.02239752873512,56.022397683641366,1507.0119047619048
330000,0.74055,1.9999869e-05,3.2984812,0.20957683,0.03533776,35.84324717006436,35.84324723908918,1304.1827956989248
335000,0.7158238,1.9999867e-05,3.9880602,0.22775765,0.032766294,55.23662013120506,55.236620154994434,1463.1538461538462
340000,0.6964512,1.9999863e-05,3.8545318,0.2374199,0.035282686,37.84189847809174,37.841898480617125,895.9635036496351
345000,0.69978833,1.9999861e-05,3.9436705,0.23615134,0.03454383,42.140308992729324,42.14030906676323,1009.5892857142857
350000,0.77098787,1.999986e-05,3.9096017,0.21103641,0.03495355,63.46637365751299,63.4663736920736,1435.5316455696202
355000,0.8205165,1.999986e-05,4.0451846,0.18968296,0.033131007,73.93108457373934,73.93108478654221,1808.7534246575342
360000,0.75766355,1.999986e-05,3.6620326,0.2040171,0.033047955,68.06207110983446,68.06207129741597,1634.469135802469
365000,0.7475713,1.9999856e-05,3.9122503,0.20756704,0.03549617,62.78418253410607,62.7841825371742,1644.3333333333333
370000,0.7618183,1.9999852e-05,3.9374373,0.18944602,0.033804167,79.89618155667964,79.89618173787775,1935.1739130434783
375000,0.7733151,1.999985e-05,3.9105966,0.17287208,0.034750436,96.53931514150938,96.5393152696004,2224.3673469387754
380000,0.74879235,1.9999849e-05,4.04115,0.18076308,0.033893745,88.22249806788417,88.22249815796773,2236.6428571428573
385000,0.75364417,1.9999847e-05,3.9908357,0.19608706,0.033449955,58.77335490460542,58.773355001287136,1394.6913580246915
390000,0.7597892,1.9999845e-05,4.1627984,0.1758611,0.034712862,80.02296117600054,80.02296117683233,1973.641791044776
395000,0.7812217,1.9999843e-05,4.1759644,0.16310637,0.032648154,83.9977707624722,83.99777085336511,1896.0461538461539
400000,0.8188474,1.9999841e-05,4.0415063,0.16121557,0.034023583,113.95943929581962,113.95943931348243,2623.978723404255
405000,0.8027236,1.9999838e-05,3.7402081,0.16300966,0.036338743,90.01703820060939,90.01703819579542,2203.983333333333
410000,0.7564899,1.9999836e-05,3.606225,0.17740959,0.035932913,70.2172153481138,70.21721538382833,1861.225352112676
415000,0.78065896,1.9999834e-05,3.4297774,0.17811261,0.03553066,91.43758585637435,91.43758621100744,2422.14
420000,0.7754474,1.9999832e-05,3.758789,0.17914213,0.03433195,77.31611657687692,77.31611653986069,2142.8688524590166
425000,0.7547601,1.9999832e-05,3.7148077,0.19380726,0.032996543,73.98943348398761,73.98943354865183,1811.9558823529412
430000,0.7204543,1.999983e-05,3.9152145,0.20888084,0.035305317,62.859780114791114,62.85978014584084,1688.6736842105263
435000,0.7279614,1.9999827e-05,3.7442791,0.19985937,0.035260905,57.740644238239746,57.74064414875822,1346.7368421052631
440000,0.7470799,1.9999827e-05,3.9300718,0.19691215,0.035817437,67.72837614662993,67.72837615043531,1744.1898734177216
445000,0.7474175,1.999982e-05,3.6267426,0.19513321,0.03374178,67.18035300030117,67.1803530449026,1612.3333333333333
450000,0.74062884,1.9999818e-05,3.5256743,0.19328855,0.0366035,63.358236731937794,63.358236830937024,1728.7848101265822
455000,0.6999424,1.9999818e-05,4.056395,0.222383,0.03451795,44.759717313085346,44.759717370237176,1223.4205607476636
460000,0.74895775,1.9999818e-05,3.372885,0.20569563,0.03405632,68.53950647203018,68.53950654585432,1541.9
465000,0.7551408,1.9999816e-05,3.0946288,0.17262417,0.033271346,76.62839135015383,76.6283914893367,2265.730769230769
470000,0.7214536,1.9999812e-05,3.7714295,0.20320104,0.03399372,67.64214152788786,67.64214155492252,2080.9545454545455
475000,0.705505,1.9999809e-05,3.570571,0.20735419,0.03419337,54.242747041764424,54.24274711814551,1362.3368421052633
480000,0.6974694,1.9999809e-05,3.8082817,0.20512201,0.03460802,54.677032280258004,54.677032361664594,1502.1333333333334
485000,0.69067407,1.9999805e-05,3.5323417,0.21528375,0.03322437,58.879303716685776,58.87930381271427,1398.611111111111
490000,0.6296246,1.9999805e-05,3.6009119,0.22356306,0.034062397,44.48144968412027,44.48144969225743,1253.0593220338983
495000,0.6622655,1.9999801e-05,3.4195738,0.21661128,0.03503525,44.56437746139341,44.56437748114034,1143.1263157894737
500000,0.66907173,1.9999801e-05,3.4429433,0.20271444,0.036173213,58.874960997087896,58.87496100373268,1697.7710843373493
505000,0.6136588,1.99998e-05,3.7881484,0.23270619,0.035267815,40.38818649165332,40.38818652800253,1091.6347826086956
510000,0.6529933,1.9999798e-05,3.8561215,0.23351382,0.03391881,46.54077464129741,46.54077471149069,1122.056074766355
515000,0.6691061,1.9999794e-05,3.9311223,0.22625373,0.0326708,49.05186921093105,49.05186930560491,1208.4727272727273
520000,0.65049636,1.9999794e-05,3.801412,0.25306633,0.033240777,54.23008519423194,54.23008522281092,1266.58
525000,0.68416077,1.999979e-05,3.9845083,0.22846836,0.034068193,45.76426452159543,45.764264628323126,1173.4636363636364
