Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
1000,1.7893364,0.00019999995,-0.16524623,4.078156348317862,4.078156322264931,732.0,0.010764389,0.03247473
2000,1.7714741,0.00019999995,0.0012881793,7.0249219467164945,7.024921924012173,1248.1,0.020202661,0.034366325
3000,1.7549604,0.00019999995,-0.04150093,4.039563958103267,4.039563950575773,1088.076923076923,0.030602016,0.03396348
4000,1.7098275,0.00019999995,-0.005210406,2.381201311881686,2.38120135753125,668.1724137931035,0.03548681,0.036360998
5000,1.5844004,0.00019999995,0.34672087,1.0621410732411525,1.0621410924942045,522.9272727272727,0.06734222,0.034774415
6000,1.5232558,0.00019999995,0.6237836,3.196431274513881,3.196431275051276,299.7692307692308,0.07453871,0.03540094
7000,1.4643298,0.00019999995,1.1220386,11.266403118696283,11.266403182633171,418.05882352941177,0.10625169,0.0356775
8000,1.4638499,0.00019999995,1.3313905,19.465435929596424,19.465435990318838,580.9375,0.1347385,0.037882023
9000,1.4056332,0.00019999995,1.5930967,20.75805056520871,20.758050634191182,765.8571428571429,0.14210337,0.037047066
10000,1.3142358,0.00019999995,1.760671,42.08406168818474,42.08406186051597,1200.4,0.14427978,0.030863926
11000,1.1699433,0.00019999992,2.2530096,39.867374408699106,39.86737437034171,1805.4166666666667,0.13544509,0.032224864
12000,1.1052793,0.0001999999,2.7081203,32.8666198595681,32.86661988440838,1025.090909090909,0.16135864,0.037714902
13000,1.0722253,0.0001999999,2.6519797,26.91288264033695,26.912882733747892,892.4166666666666,0.18130064,0.031287275
14000,1.0857332,0.0001999999,2.7162015,28.32228015673657,28.322280145117322,961.5,0.17652233,0.03733783
15000,1.116479,0.0001999999,2.6915174,53.1788267520341,53.17882678786836,1357.4545454545455,0.21404018,0.027684167
16000,1.1196816,0.0001999999,2.7257824,57.07855854404193,57.07855877633287,1501.7037037037037,0.24235585,0.038332712
17000,1.1145613,0.0001999999,2.81431,31.42187067667643,31.421870625676167,851.9333333333333,0.21539152,0.03725552
18000,1.161772,0.0001999999,2.389243,22.2917209579186,22.29172100129786,746.0,0.20010002,0.034112018
19000,1.1384186,0.0001999999,2.1960232,41.32371857948601,41.32371837706705,1362.75,0.17997992,0.035430085
20000,1.1127263,0.0001999999,2.3137174,22.610120376261573,22.610120426400197,1023.0833333333334,0.17188255,0.031384107
